AAPL,date,closing,avg
GOOG,Tue Apr 05 00:00:00 CEST 2016,737.799988,737.799988
AAPL,Tue Apr 05 00:00:00 CEST 2016,737.799988,737.799988
GOOG,Mon Apr 04 00:00:00 CEST 2016,745.289978,741.544983
AAPL,Mon Apr 04 00:00:00 CEST 2016,745.289978,741.544983
GOOG,Fri Apr 01 00:00:00 CEST 2016,749.909973,744.3333130000001
AAPL,Fri Apr 01 00:00:00 CEST 2016,749.909973,744.3333130000001
GOOG,Thu Mar 31 00:00:00 CEST 2016,744.950012,744.4874877500001
AAPL,Thu Mar 31 00:00:00 CEST 2016,744.950012,744.4874877500001
GOOG,Wed Mar 30 00:00:00 CEST 2016,750.530029,745.6959960000002
AAPL,Wed Mar 30 00:00:00 CEST 2016,750.530029,745.6959960000002
GOOG,Tue Mar 29 00:00:00 CEST 2016,744.77002,745.5416666666669
AAPL,Tue Mar 29 00:00:00 CEST 2016,744.77002,745.5416666666669
GOOG,Mon Mar 28 00:00:00 CEST 2016,733.530029,743.8257184285716
AAPL,Mon Mar 28 00:00:00 CEST 2016,733.530029,743.8257184285716
GOOG,Thu Mar 24 00:00:00 CET 2016,735.299988,742.7600021250001
AAPL,Thu Mar 24 00:00:00 CET 2016,735.299988,742.7600021250001
GOOG,Wed Mar 23 00:00:00 CET 2016,738.059998,742.2377794444445
AAPL,Wed Mar 23 00:00:00 CET 2016,738.059998,742.2377794444445
GOOG,Tue Mar 22 00:00:00 CET 2016,740.75,742.0890015000001
AAPL,Tue Mar 22 00:00:00 CET 2016,740.75,742.0890015000001
GOOG,Mon Mar 21 00:00:00 CET 2016,742.090027,742.0890947272728
AAPL,Mon Mar 21 00:00:00 CET 2016,742.090027,742.0890947272728
GOOG,Fri Mar 18 00:00:00 CET 2016,737.599976,741.7150015000001
AAPL,Fri Mar 18 00:00:00 CET 2016,737.599976,741.7150015000001
GOOG,Thu Mar 17 00:00:00 CET 2016,737.780029,741.4123113076923
AAPL,Thu Mar 17 00:00:00 CET 2016,737.780029,741.4123113076923
GOOG,Wed Mar 16 00:00:00 CET 2016,736.090027,741.0321481428572
AAPL,Wed Mar 16 00:00:00 CET 2016,736.090027,741.0321481428572
GOOG,Tue Mar 15 00:00:00 CET 2016,728.330017,740.1853394000001
AAPL,Tue Mar 15 00:00:00 CET 2016,728.330017,740.1853394000001
GOOG,Mon Mar 14 00:00:00 CET 2016,730.48999,739.5793800625
AAPL,Mon Mar 14 00:00:00 CET 2016,730.48999,739.5793800625
GOOG,Fri Mar 11 00:00:00 CET 2016,726.820007,738.8288287058824
AAPL,Fri Mar 11 00:00:00 CET 2016,726.820007,738.8288287058824
GOOG,Thu Mar 10 00:00:00 CET 2016,712.820007,737.3838941666668
AAPL,Thu Mar 10 00:00:00 CET 2016,712.820007,737.3838941666668
GOOG,Wed Mar 09 00:00:00 CET 2016,705.23999,735.6921097368422
AAPL,Wed Mar 09 00:00:00 CET 2016,705.23999,735.6921097368422
GOOG,Tue Mar 08 00:00:00 CET 2016,693.969971,733.6060028
AAPL,Tue Mar 08 00:00:00 CET 2016,693.969971,733.6060028
GOOG,Mon Mar 07 00:00:00 CET 2016,695.159973,731.7752394761906
AAPL,Mon Mar 07 00:00:00 CET 2016,695.159973,731.7752394761906
GOOG,Fri Mar 04 00:00:00 CET 2016,710.890015,730.8259110909092
AAPL,Fri Mar 04 00:00:00 CET 2016,710.890015,730.8259110909092
GOOG,Thu Mar 03 00:00:00 CET 2016,712.419983,730.0256533478262
AAPL,Thu Mar 03 00:00:00 CET 2016,712.419983,730.0256533478262
GOOG,Wed Mar 02 00:00:00 CET 2016,718.849976,729.5600001250001
AAPL,Wed Mar 02 00:00:00 CET 2016,718.849976,729.5600001250001
GOOG,Tue Mar 01 00:00:00 CET 2016,718.809998,729.1300000400001
AAPL,Tue Mar 01 00:00:00 CET 2016,718.809998,729.1300000400001
GOOG,Mon Feb 29 00:00:00 CET 2016,697.77002,727.9238469615386
AAPL,Mon Feb 29 00:00:00 CET 2016,697.77002,727.9238469615386
GOOG,Fri Feb 26 00:00:00 CET 2016,705.070007,727.0774084444446
AAPL,Fri Feb 26 00:00:00 CET 2016,705.070007,727.0774084444446
GOOG,Thu Feb 25 00:00:00 CET 2016,705.75,726.3157152857144
AAPL,Thu Feb 25 00:00:00 CET 2016,705.75,726.3157152857144
GOOG,Wed Feb 24 00:00:00 CET 2016,699.559998,725.3931043448276
AAPL,Wed Feb 24 00:00:00 CET 2016,699.559998,725.3931043448276
GOOG,Tue Feb 23 00:00:00 CET 2016,695.849976,724.4083334000002
AAPL,Tue Feb 23 00:00:00 CET 2016,695.849976,724.4083334000002
GOOG,Mon Feb 22 00:00:00 CET 2016,706.460022,723.8293556129033
AAPL,Mon Feb 22 00:00:00 CET 2016,706.460022,723.8293556129033
GOOG,Fri Feb 19 00:00:00 CET 2016,700.909973,723.1131249062502
AAPL,Fri Feb 19 00:00:00 CET 2016,700.909973,723.1131249062502
GOOG,Thu Feb 18 00:00:00 CET 2016,697.349976,722.3324234242426
AAPL,Thu Feb 18 00:00:00 CET 2016,697.349976,722.3324234242426
GOOG,Wed Feb 17 00:00:00 CET 2016,708.400024,721.9226469705884
AAPL,Wed Feb 17 00:00:00 CET 2016,708.400024,721.9226469705884
GOOG,Tue Feb 16 00:00:00 CET 2016,691.0,721.0391427714287
AAPL,Tue Feb 16 00:00:00 CET 2016,691.0,721.0391427714287
GOOG,Fri Feb 12 00:00:00 CET 2016,682.400024,719.9658339166667
AAPL,Fri Feb 12 00:00:00 CET 2016,682.400024,719.9658339166667
GOOG,Thu Feb 11 00:00:00 CET 2016,683.109985,718.969729891892
AAPL,Thu Feb 11 00:00:00 CET 2016,683.109985,718.969729891892
GOOG,Wed Feb 10 00:00:00 CET 2016,684.119995,718.0526316052633
AAPL,Wed Feb 10 00:00:00 CET 2016,684.119995,718.0526316052633
GOOG,Tue Feb 09 00:00:00 CET 2016,678.109985,717.0284611794873
AAPL,Tue Feb 09 00:00:00 CET 2016,678.109985,717.0284611794873
GOOG,Mon Feb 08 00:00:00 CET 2016,682.73999,716.1712494000001
AAPL,Mon Feb 08 00:00:00 CET 2016,682.73999,716.1712494000001
GOOG,Fri Feb 05 00:00:00 CET 2016,683.570007,715.3760971463415
AAPL,Fri Feb 05 00:00:00 CET 2016,683.570007,715.3760971463415
GOOG,Thu Feb 04 00:00:00 CET 2016,708.01001,715.2007141190477
AAPL,Thu Feb 04 00:00:00 CET 2016,708.01001,715.2007141190477
GOOG,Wed Feb 03 00:00:00 CET 2016,726.950012,715.4739536046513
AAPL,Wed Feb 03 00:00:00 CET 2016,726.950012,715.4739536046513
GOOG,Tue Feb 02 00:00:00 CET 2016,764.650024,716.5915915681819
AAPL,Tue Feb 02 00:00:00 CET 2016,764.650024,716.5915915681819
GOOG,Mon Feb 01 00:00:00 CET 2016,752.0,717.378445088889
AAPL,Mon Feb 01 00:00:00 CET 2016,752.0,717.378445088889
GOOG,Fri Jan 29 00:00:00 CET 2016,742.950012,717.9343487173913
AAPL,Fri Jan 29 00:00:00 CET 2016,742.950012,717.9343487173913
GOOG,Thu Jan 28 00:00:00 CET 2016,730.960022,718.2114907021277
