AMZN,date,closing,avg
AMZN,Tue Apr 05 00:00:00 CEST 2016,109.809998,109.809998
AMZN,Thu Jul 30 00:00:00 CEST 2015,632.590027,371.20001249999996
AMZN,Mon Apr 04 00:00:00 CEST 2016,111.120003,284.50667599999997
AMZN,Wed Jul 29 00:00:00 CEST 2015,631.929993,371.36250524999997
AMZN,Fri Apr 01 00:00:00 CEST 2016,109.989998,319.08800379999997
AMZN,Tue Jul 28 00:00:00 CEST 2015,628.0,370.5733364999999
AMZN,Thu Mar 31 00:00:00 CEST 2016,108.989998,333.2042881428571
AMZN,Mon Jul 27 00:00:00 CEST 2015,627.26001,369.96125337499996
AMZN,Wed Mar 30 00:00:00 CEST 2016,109.559998,341.0277805555555
AMZN,Fri Jul 24 00:00:00 CEST 2015,623.559998,369.2810023
AMZN,Tue Mar 29 00:00:00 CEST 2016,107.68,345.49909299999996
AMZN,Thu Jul 23 00:00:00 CEST 2015,644.280029,370.3975043333333
AMZN,Mon Mar 28 00:00:00 CEST 2016,105.190002,349.99692723076924
AMZN,Wed Jul 22 00:00:00 CEST 2015,662.099976,372.2900021428572
AMZN,Thu Mar 24 00:00:00 CET 2016,105.669998,354.51533520000004
AMZN,Tue Jul 21 00:00:00 CEST 2015,662.299988,373.75187600000004
AMZN,Wed Mar 23 00:00:00 CET 2016,106.129997,358.0094125294118
AMZN,Mon Jul 20 00:00:00 CEST 2015,663.02002,374.95444627777783
AMZN,Tue Mar 22 00:00:00 CET 2016,106.720001,360.83684389473683
AMZN,Fri Jul 17 00:00:00 CEST 2015,672.929993,376.44150135
AMZN,Mon Mar 21 00:00:00 CET 2016,105.910004,363.5590490952381
AMZN,Thu Jul 16 00:00:00 CEST 2015,579.849976,373.3904548636364
AMZN,Fri Mar 18 00:00:00 CET 2016,105.919998,361.7613045652174
AMZN,Wed Jul 15 00:00:00 CEST 2015,560.219971,370.03041566666667
AMZN,Thu Mar 17 00:00:00 CET 2016,105.800003,359.46119916000004
AMZN,Tue Jul 14 00:00:00 CEST 2015,561.099976,367.21653673076923
AMZN,Wed Mar 16 00:00:00 CET 2016,105.970001,357.5407391111111
AMZN,Mon Jul 13 00:00:00 CEST 2015,546.549988,364.29106942857146
AMZN,Tue Mar 15 00:00:00 CET 2016,104.580002,355.3355153793104
AMZN,Fri Jul 10 00:00:00 CEST 2015,530.130005,361.16199836666675
AMZN,Mon Mar 14 00:00:00 CET 2016,102.519997,352.8187080000001
AMZN,Thu Jul 09 00:00:00 CEST 2015,520.679993,358.06437315625004
AMZN,Fri Mar 11 00:00:00 CET 2016,102.260002,350.3127255454546
AMZN,Wed Jul 08 00:00:00 CEST 2015,516.830017,355.21029294117653
AMZN,Thu Mar 10 00:00:00 CET 2016,101.169998,347.95199880000007
AMZN,Tue Jul 07 00:00:00 CEST 2015,525.02002,352.8705549444445
AMZN,Wed Mar 09 00:00:00 CET 2016,101.120003,346.066485972973
AMZN,Mon Jul 06 00:00:00 CEST 2015,522.859985,350.7189464736843
AMZN,Tue Mar 08 00:00:00 CET 2016,101.029999,344.31666576923084
AMZN,Thu Jul 02 00:00:00 CEST 2015,523.400024,348.7937497250001
AMZN,Mon Mar 07 00:00:00 CET 2016,101.870003,342.77121931707325
AMZN,Wed Jul 01 00:00:00 CEST 2015,521.840027,347.03476235714294
AMZN,Fri Mar 04 00:00:00 CET 2016,103.010002,341.3597679302327
AMZN,Tue Jun 30 00:00:00 CEST 2015,520.51001,345.43136434090917
AMZN,Thu Mar 03 00:00:00 CET 2016,101.5,340.01066735555565
AMZN,Mon Jun 29 00:00:00 CEST 2015,521.52002,343.9565228478262
AMZN,Wed Mar 02 00:00:00 CET 2016,100.75,338.7819159787235
AMZN,Fri Jun 26 00:00:00 CEST 2015,531.690002,342.8008344375001
AMZN,Tue Mar 01 00:00:00 CET 2016,100.529999,337.8565316734695
AMZN,Thu Jun 25 00:00:00 CEST 2015,535.22998,341.8040006400001
AMZN,Mon Feb 29 00:00:00 CET 2016,96.690002,336.9978438039216
AMZN,Wed Jun 24 00:00:00 CEST 2015,537.840027,340.8601934807693
AMZN,Fri Feb 26 00:00:00 CET 2016,96.910004,336.25735971698117
AMZN,Tue Jun 23 00:00:00 CEST 2015,540.47998,340.03926009259266
AMZN,Thu Feb 25 00:00:00 CET 2016,96.760002,335.6160008545455
AMZN,Mon Jun 22 00:00:00 CEST 2015,538.190002,339.2333937321429
AMZN,Wed Feb 24 00:00:00 CET 2016,96.099998,334.96789556140357
AMZN,Fri Jun 19 00:00:00 CEST 2015,536.690002,338.4458629137931
AMZN,Tue Feb 23 00:00:00 CET 2016,94.690002,334.31440764406784
AMZN,Thu Jun 18 00:00:00 CEST 2015,536.72998,337.6880005166667
AMZN,Mon Feb 22 00:00:00 CET 2016,96.879997,333.7403283278689
AMZN,Wed Jun 17 00:00:00 CEST 2015,529.26001,336.8938715806452
AMZN,Fri Feb 19 00:00:00 CET 2016,96.040001,333.0707942698414
AMZN,Tue Jun 16 00:00:00 CEST 2015,528.150024,336.11890723437506
AMZN,Thu Feb 18 00:00:00 CET 2016,96.260002,332.42877023076926
AMZN,Mon Jun 15 00:00:00 CEST 2015,527.200012,335.3798496515152
AMZN,Wed Feb 17 00:00:00 CET 2016,98.120003,331.8386579104478
AMZN,Fri Jun 12 00:00:00 CEST 2015,532.330017,334.7870602500001
AMZN,Tue Feb 16 00:00:00 CET 2016,96.639999,331.33565356521746
AMZN,Thu Jun 11 00:00:00 CEST 2015,534.609985,334.2395725857143
AMZN,Fri Feb 12 00:00:00 CET 2016,93.989998,330.8557757605634
AMZN,Wed Jun 10 00:00:00 CEST 2015,536.690002,333.7145844583334
AMZN,Thu Feb 11 00:00:00 CET 2016,93.699997,330.4267133972603
AMZN,Tue Jun 09 00:00:00 CEST 2015,526.690002,333.07892000000004
AMZN,Wed Feb 10 00:00:00 CET 2016,94.269997,329.8948010266667
AMZN,Mon Jun 08 00:00:00 CEST 2015,526.830017,332.4860538684211
AMZN,Tue Feb 09 00:00:00 CET 2016,94.989998,329.40168950649354
AMZN,Fri Jun 05 00:00:00 CEST 2015,533.330017,332.01615524358976
AMZN,Mon Feb 08 00:00:00 CET 2016,95.010002,329.0160773544304
AMZN,Thu Jun 04 00:00:00 CEST 2015,536.700012,331.61212653750005
AMZN,Fri Feb 05 00:00:00 CET 2016,94.019997,328.6788903703704
AMZN,Wed Jun 03 00:00:00 CEST 2015,540.309998,331.2597575365854
AMZN,Thu Feb 04 00:00:00 CET 2016,96.599998,328.4325315180723
AMZN,Tue Jun 02 00:00:00 CEST 2015,539.179993,330.9414298690477
AMZN,Wed Feb 03 00:00:00 CET 2016,96.349998,328.1815306705883
AMZN,Mon Jun 01 00:00:00 CEST 2015,533.98999,330.57465229069777
AMZN,Tue Feb 02 00:00:00 CET 2016,94.480003,327.8609206896553
AMZN,Fri May 29 00:00:00 CEST 2015,532.109985,330.18193278409103
AMZN,Mon Feb 01 00:00:00 CET 2016,96.43,327.5555065730338
AMZN,Thu May 28 00:00:00 CEST 2015,539.780029,329.91355682222235
AMZN,Fri Jan 29 00:00:00 CET 2016,97.339996,327.3578034065935
AMZN,Wed May 27 00:00:00 CEST 2015,539.789978,329.6668487826088
AMZN,Thu Jan 28 00:00:00 CET 2016,94.089996,327.1337643440861
AMZN,Tue May 26 00:00:00 CEST 2015,532.320007,329.31659671276606
AMZN,Wed Jan 27 00:00:00 CET 2016,93.419998,326.83347462105274
AMZN,Fri May 22 00:00:00 CEST 2015,540.109985,329.05510493750006
AMZN,Tue Jan 26 00:00:00 CET 2016,99.989998,326.6936089896908
AMZN,Thu May 21 00:00:00 CEST 2015,542.51001,328.89581716326535
AMZN,Mon Jan 25 00:00:00 CET 2016,99.440002,326.5780816565657
AMZN,Wed May 20 00:00:00 CEST 2015,539.27002,328.70500104000007
AMZN,Fri Jan 22 00:00:00 CET 2016,101.419998,326.45465447524754
AMZN,Tue May 19 00:00:00 CEST 2015,537.359985,328.5223537941177
AMZN,Thu Jan 21 00:00:00 CET 2016,96.300003,326.2677678640777
AMZN,Mon May 18 00:00:00 CEST 2015,532.299988,328.2488469038462
AMZN,Wed Jan 20 00:00:00 CET 2016,96.790001,326.04447694285716
AMZN,Fri May 15 00:00:00 CEST 2015,533.849976,328.00490617924527
AMZN,Tue Jan 19 00:00:00 CET 2016,96.660004,325.8428042897196
AMZN,Thu May 14 00:00:00 CEST 2015,538.400024,327.81092669444445
AMZN,Fri Jan 15 00:00:00 CET 2016,97.129997,325.6945878899083
AMZN,Wed May 13 00:00:00 CEST 2015,529.619995,327.54845522727277
AMZN,Thu Jan 14 00:00:00 CET 2016,99.519997,325.4941447927929
AMZN,Tue May 12 00:00:00 CEST 2015,529.039978,327.3115183035715
AMZN,Wed Jan 13 00:00:00 CET 2016,97.389999,325.2768145929204
AMZN,Mon May 11 00:00:00 CEST 2015,535.700012,327.1226321140352
AMZN,Tue Jan 12 00:00:00 CET 2016,99.959999,325.1473048695653
AMZN,Fri May 08 00:00:00 CEST 2015,538.219971,326.9841381982759
AMZN,Mon Jan 11 00:00:00 CET 2016,98.529999,325.03153871794876
AMZN,Wed Apr 06 00:00:00 CEST 2016,602.080017,327.37940717796613
AMZN,Thu May 07 00:00:00 CEST 2015,530.700012,329.0879836890757
AMZN,Fri Jan 08 00:00:00 CET 2016,96.959999,327.1535838166667
AMZN,Tue Apr 05 00:00:00 CEST 2016,586.140015,329.29396754545456
AMZN,Wed May 06 00:00:00 CEST 2015,524.219971,330.89172167213115
AMZN,Thu Jan 07 00:00:00 CET 2016,96.449997,328.9856913902439
AMZN,Mon Apr 04 00:00:00 CEST 2016,593.190002,331.1163713145162
AMZN,Tue May 05 00:00:00 CEST 2015,530.799988,332.71384024800005
AMZN,Wed Jan 06 00:00:00 CET 2016,100.699997,330.8724605396826
AMZN,Fri Apr 01 00:00:00 CEST 2016,598.5,332.9797640000001
AMZN,Mon May 04 00:00:00 CEST 2015,540.780029,334.6032035703126
AMZN,Tue Jan 05 00:00:00 CET 2016,102.709999,332.8055818294574
AMZN,Thu Mar 31 00:00:00 CEST 2016,593.640015,334.8120005461539
AMZN,Fri May 01 00:00:00 CEST 2015,537.900024,336.3622908015268
AMZN,Mon Jan 04 00:00:00 CET 2016,105.349998,334.61219767424245
AMZN,Wed Mar 30 00:00:00 CEST 2016,598.690002,336.5977450751881
AMZN,Thu Apr 30 00:00:00 CEST 2015,537.340027,338.0958218059702
AMZN,Thu Dec 31 00:00:00 CET 2015,105.260002,336.3711120296297
AMZN,Tue Mar 29 00:00:00 CEST 2016,593.859985,338.2644125661766
AMZN,Wed Apr 29 00:00:00 CEST 2015,549.080017,339.80321259854026
AMZN,Wed Dec 30 00:00:00 CET 2015,107.32,338.11855163768126
AMZN,Mon Mar 28 00:00:00 CEST 2016,579.869995,339.85777065467636
AMZN,Tue Apr 28 00:00:00 CEST 2015,553.679993,341.38507224285723
AMZN,Tue Dec 29 00:00:00 CET 2015,108.739998,339.73510717730505
AMZN,Thu Mar 24 00:00:00 CET 2016,582.950012,341.4478881971832
AMZN,Mon Apr 27 00:00:00 CEST 2015,555.369995,342.9438469860141
AMZN,Mon Dec 28 00:00:00 CET 2015,106.82,341.3040980486112
AMZN,Wed Mar 23 00:00:00 CET 2016,569.630005,342.8787594758621
AMZN,Fri Apr 24 00:00:00 CEST 2015,565.062561,344.40056633561653
AMZN,Thu Dec 24 00:00:00 CET 2015,108.029999,342.7926032925171
AMZN,Tue Mar 22 00:00:00 CET 2016,560.47998,344.263463945946
AMZN,Thu Apr 23 00:00:00 CEST 2015,547.002472,345.62412842953023
AMZN,Wed Dec 23 00:00:00 CET 2015,108.610001,344.0440342466667
AMZN,Mon Mar 21 00:00:00 CET 2016,553.97998,345.43433852317884
AMZN,Wed Apr 22 00:00:00 CEST 2015,539.367458,346.7102143092105
AMZN,Tue Dec 22 00:00:00 CET 2015,107.230003,345.1449841699346
AMZN,Fri Mar 18 00:00:00 CET 2016,552.080017,346.48871814935063
AMZN,Tue Apr 21 00:00:00 CEST 2015,533.972413,347.69829037419356
AMZN,Mon Dec 21 00:00:00 CET 2015,107.330002,346.1574680128206
AMZN,Thu Mar 17 00:00:00 CET 2016,559.440002,347.5159554904459
AMZN,Mon Apr 20 00:00:00 CEST 2015,535.382408,348.7049836708861
AMZN,Fri Dec 18 00:00:00 CET 2015,106.029999,347.17872590566043
AMZN,Wed Mar 16 00:00:00 CET 2016,574.27002,348.5980464937501
AMZN,Fri Apr 17 00:00:00 CEST 2015,524.052386,349.6878250000001
AMZN,Thu Dec 17 00:00:00 CET 2015,108.980003,348.2019742469136
AMZN,Tue Mar 15 00:00:00 CET 2016,577.02002,349.6057659386504
AMZN,Thu Apr 16 00:00:00 CEST 2015,533.802391,350.7289160914635
AMZN,Wed Dec 16 00:00:00 CET 2015,111.339996,349.2780741515152
AMZN,Mon Mar 14 00:00:00 CET 2016,573.369995,350.6280254819278
AMZN,Wed Apr 15 00:00:00 CEST 2015,532.532429,351.7172734071857
AMZN,Tue Dec 15 00:00:00 CET 2015,110.489998,350.2813967678572
AMZN,Fri Mar 11 00:00:00 CET 2016,569.609985,351.5791990650888
AMZN,Tue Apr 14 00:00:00 CEST 2015,530.392405,352.63104145294125
AMZN,Mon Dec 14 00:00:00 CET 2015,112.480003,351.22664941520475
AMZN,Thu Mar 10 00:00:00 CET 2016,558.929993,352.4342269941861
AMZN,Mon Apr 13 00:00:00 CEST 2015,539.172466,353.5136387803468
AMZN,Fri Dec 11 00:00:00 CET 2015,113.18,352.1324109712644
AMZN,Wed Mar 09 00:00:00 CET 2016,559.469971,353.31719702857146
AMZN,Fri Apr 10 00:00:00 CEST 2015,540.012416,354.3779653181818
AMZN,Thu Dec 10 00:00:00 CET 2015,116.169998,353.0321575932203
AMZN,Tue Mar 08 00:00:00 CET 2016,560.26001,354.1963590112359
AMZN,Thu Apr 09 00:00:00 CEST 2015,540.782472,355.2387395307262
AMZN,Wed Dec 09 00:00:00 CET 2015,115.620003,353.90752432777776
AMZN,Mon Mar 07 00:00:00 CET 2016,562.799988,355.06162633701655
AMZN,Wed Apr 08 00:00:00 CEST 2015,541.612446,356.0866308406593
AMZN,Tue Dec 08 00:00:00 CET 2015,118.230003,354.7868678469945
AMZN,Fri Mar 04 00:00:00 CET 2016,575.140015,355.984439298913
AMZN,Tue Apr 07 00:00:00 CEST 2015,537.022404,356.9630228918918
AMZN,Mon Dec 07 00:00:00 CET 2015,118.279999,355.67978082795696
AMZN,Thu Mar 03 00:00:00 CET 2016,577.48999,356.86593167914435
AMZN,Fri Dec 04 00:00:00 CET 2015,119.029999,355.60084693085105
AMZN,Wed Mar 02 00:00:00 CET 2016,580.210022,356.78925526455026
AMZN,Thu Dec 03 00:00:00 CET 2015,115.199997,355.5177328526316
AMZN,Tue Mar 01 00:00:00 CET 2016,579.039978,356.68800638743454
AMZN,Wed Dec 02 00:00:00 CET 2015,116.279999,355.4358813489584
AMZN,Mon Feb 29 00:00:00 CET 2016,552.52002,356.4570426891192
AMZN,Tue Dec 01 00:00:00 CET 2015,117.339996,355.2244805927835
AMZN,Fri Feb 26 00:00:00 CET 2016,555.22998,356.25014982051283
AMZN,Mon Nov 30 00:00:00 CET 2015,118.300003,355.0361184591837
AMZN,Thu Feb 25 00:00:00 CET 2016,555.150024,356.05192508629443
AMZN,Fri Nov 27 00:00:00 CET 2015,117.809998,354.848683030303
AMZN,Wed Feb 24 00:00:00 CET 2016,554.039978,355.84964431155777
AMZN,Wed Nov 25 00:00:00 CET 2015,118.029999,354.660546085
AMZN,Tue Feb 23 00:00:00 CET 2016,552.940002,355.64701103980104
AMZN,Tue Nov 24 00:00:00 CET 2015,118.879997,354.4748971089109
AMZN,Mon Feb 22 00:00:00 CET 2016,559.5,355.48487298522167
AMZN,Mon Nov 23 00:00:00 CET 2015,117.75,354.31950596078434
AMZN,Fri Feb 19 00:00:00 CET 2016,534.900024,355.20038653658537
AMZN,Fri Nov 20 00:00:00 CET 2015,119.300003,354.0552390436893
AMZN,Thu Feb 18 00:00:00 CET 2016,525.0,354.8810591449276
AMZN,Thu Nov 19 00:00:00 CET 2015,118.779999,353.7459578942308
AMZN,Wed Feb 17 00:00:00 CET 2016,534.099976,354.60889577990434
AMZN,Wed Nov 18 00:00:00 CET 2015,117.290001,353.4788058047619
AMZN,Tue Feb 16 00:00:00 CET 2016,521.099976,354.27321893364933
AMZN,Tue Nov 17 00:00:00 CET 2015,113.690002,353.13839243867926
AMZN,Fri Feb 12 00:00:00 CET 2016,507.079987,353.8611229295775
AMZN,Mon Nov 16 00:00:00 CET 2015,114.18,352.74111768224304
AMZN,Thu Feb 11 00:00:00 CET 2016,503.820007,353.4438101906977
AMZN,Fri Nov 13 00:00:00 CET 2015,112.339996,352.3275888287037
AMZN,Wed Feb 10 00:00:00 CET 2016,490.480011,352.96423593548394
AMZN,Thu Nov 12 00:00:00 CET 2015,115.720001,351.8759596284404
AMZN,Tue Feb 09 00:00:00 CET 2016,482.070007,352.47045299543385
AMZN,Wed Nov 11 00:00:00 CET 2015,116.110001,351.39608730454546
AMZN,Mon Feb 08 00:00:00 CET 2016,488.100006,352.01465707239817
AMZN,Tue Nov 10 00:00:00 CET 2015,116.769997,350.9549964414414
AMZN,Fri Feb 05 00:00:00 CET 2016,502.130005,351.6329112780269
AMZN,Mon Nov 09 00:00:00 CET 2015,120.57,350.6013804241071
AMZN,Thu Feb 04 00:00:00 CET 2016,536.26001,351.42652988888887
AMZN,Fri Nov 06 00:00:00 CET 2015,121.059998,350.4072089513274
AMZN,Wed Feb 03 00:00:00 CET 2016,531.070007,351.20308030837003
AMZN,Thu Nov 05 00:00:00 CET 2015,120.919998,350.1930667894736
AMZN,Tue Feb 02 00:00:00 CET 2016,552.099976,351.0747563493449
AMZN,Wed Nov 04 00:00:00 CET 2015,122.0,350.078779147826
AMZN,Mon Feb 01 00:00:00 CET 2016,574.809998,351.0516415670995
AMZN,Tue Nov 03 00:00:00 CET 2015,122.57,350.06680690517237
AMZN,Fri Jan 29 00:00:00 CET 2016,587.0,351.0836875622317
AMZN,Mon Nov 02 00:00:00 CET 2015,121.18,350.1011931709401
AMZN,Thu Jan 28 00:00:00 CET 2016,635.349976,351.3150177787233
AMZN,Fri Oct 30 00:00:00 CET 2015,119.5,350.3327507542372
AMZN,Wed Jan 27 00:00:00 CET 2016,583.349976,351.31594579746826
AMZN,Thu Oct 29 00:00:00 CET 2015,120.529999,350.3462569453781
AMZN,Tue Jan 26 00:00:00 CET 2016,601.25,351.3960634016736
AMZN,Wed Oct 28 00:00:00 CET 2015,119.269997,350.4288714583333
AMZN,Mon Jan 25 00:00:00 CET 2016,596.530029,351.4500380871369
AMZN,Tue Oct 27 00:00:00 CET 2015,114.550003,350.47111232231396
AMZN,Fri Jan 22 00:00:00 CET 2016,596.380005,351.483083074074
AMZN,Mon Oct 26 00:00:00 CET 2015,115.279999,350.5150376475409
AMZN,Thu Jan 21 00:00:00 CET 2016,575.02002,351.43138451428564
AMZN,Fri Oct 23 00:00:00 CEST 2015,119.080002,350.4868666991869
AMZN,Wed Jan 20 00:00:00 CET 2016,571.77002,351.38274991093107
AMZN,Thu Oct 22 00:00:00 CEST 2015,115.5,350.4316097903225
AMZN,Tue Jan 19 00:00:00 CET 2016,574.47998,351.331402441767
AMZN,Fri Jan 15 00:00:00 CET 2016,570.179993,352.2067968039999
AMZN,Wed Oct 21 00:00:00 CEST 2015,113.760002,351.2568095737051
AMZN,Thu Jan 14 00:00:00 CET 2016,593.0,352.2161079484126
AMZN,Tue Oct 20 00:00:00 CEST 2015,113.769997,351.27363320158094
AMZN,Wed Jan 13 00:00:00 CET 2016,581.809998,352.1812566850393
AMZN,Mon Oct 19 00:00:00 CEST 2015,111.730003,351.2383105921568
AMZN,Tue Jan 12 00:00:00 CET 2016,617.890015,352.2799188124999
AMZN,Fri Oct 16 00:00:00 CEST 2015,111.040001,351.3412420894941
AMZN,Mon Jan 11 00:00:00 CET 2016,617.73999,352.3737953759689
AMZN,Thu Oct 15 00:00:00 CEST 2015,111.860001,351.44517068725855
AMZN,Fri Jan 08 00:00:00 CET 2016,607.049988,352.4282661384614
AMZN,Wed Oct 14 00:00:00 CEST 2015,110.209999,351.50022680076614
AMZN,Thu Jan 07 00:00:00 CET 2016,607.940002,352.4790045687022
AMZN,Tue Oct 13 00:00:00 CEST 2015,111.790001,351.56383725475274
AMZN,Wed Jan 06 00:00:00 CET 2016,632.650024,352.6285576590908
AMZN,Mon Oct 12 00:00:00 CEST 2015,111.599998,351.7190159245282
AMZN,Tue Jan 05 00:00:00 CET 2016,633.789978,352.7794330751879
AMZN,Fri Oct 09 00:00:00 CEST 2015,112.120003,351.878086895131
AMZN,Mon Jan 04 00:00:00 CET 2016,636.98999,352.94193727985066
AMZN,Thu Oct 08 00:00:00 CEST 2015,109.5,352.0369486654275
AMZN,Thu Dec 31 00:00:00 CET 2015,675.890015,353.2364044666666
AMZN,Wed Oct 07 00:00:00 CEST 2015,110.779999,352.3417313837638
AMZN,Wed Dec 30 00:00:00 CET 2015,689.070007,353.5797029852941
AMZN,Tue Oct 06 00:00:00 CEST 2015,111.309998,352.6922681684981
AMZN,Tue Dec 29 00:00:00 CET 2015,693.969971,353.93780722992693
AMZN,Mon Oct 05 00:00:00 CEST 2015,110.779999,353.0535970181818
AMZN,Mon Dec 28 00:00:00 CET 2015,675.200012,354.220794173913
AMZN,Fri Oct 02 00:00:00 CEST 2015,110.379997,353.3405024873646
AMZN,Thu Dec 24 00:00:00 CET 2015,662.789978,354.45363009712224
AMZN,Thu Oct 01 00:00:00 CEST 2015,109.580002,353.5759468422939
AMZN,Wed Dec 23 00:00:00 CET 2015,663.700012,354.68353278928566
AMZN,Wed Sep 30 00:00:00 CEST 2015,110.300003,353.8138405124555
AMZN,Tue Dec 22 00:00:00 CET 2015,663.150024,354.9107773333333
AMZN,Tue Sep 29 00:00:00 CEST 2015,109.059998,354.04204666431093
AMZN,Mon Dec 21 00:00:00 CET 2015,664.51001,355.1352437183098
AMZN,Mon Sep 28 00:00:00 CEST 2015,112.440002,354.2836814666666
AMZN,Fri Dec 18 00:00:00 CET 2015,664.140015,355.3670952202797
AMZN,Fri Sep 25 00:00:00 CEST 2015,114.709999,354.5285687526132
AMZN,Thu Dec 17 00:00:00 CET 2015,670.650024,355.6262126944444
AMZN,Thu Sep 24 00:00:00 CEST 2015,115.0,354.79359604152245
AMZN,Wed Dec 16 00:00:00 CET 2015,675.77002,355.9004112965517
AMZN,Wed Sep 23 00:00:00 CEST 2015,114.32,355.07023806185566
AMZN,Tue Dec 15 00:00:00 CET 2015,658.640015,356.1098605856164
AMZN,Tue Sep 22 00:00:00 CEST 2015,113.400002,355.2814992935153
