FB,date,closing,avg
AAPL,Mon Mar 07 00:00:00 CET 2016,562.799988,388.9807521119537
AMZN,Mon Mar 07 00:00:00 CET 2016,562.799988,153.07101535937502
GOOG,Fri Mar 04 00:00:00 CET 2016,575.140015,389.3333264734841
AAPL,Fri Mar 04 00:00:00 CET 2016,575.140015,389.3333264734841
AMZN,Fri Mar 04 00:00:00 CET 2016,575.140015,154.71330718677044
FB,Fri Mar 04 00:00:00 CET 2016,575.140015,568.9700015
GOOG,Thu Mar 03 00:00:00 CET 2016,577.48999,389.6890101474473
AAPL,Thu Mar 03 00:00:00 CET 2016,577.48999,389.6890101474473
AMZN,Thu Mar 03 00:00:00 CET 2016,577.48999,156.35197650000003
FB,Thu Mar 03 00:00:00 CET 2016,577.48999,571.8099976666666
GOOG,Wed Mar 02 00:00:00 CET 2016,580.210022,390.04848375471624
AAPL,Wed Mar 02 00:00:00 CET 2016,580.210022,390.04848375471624
AMZN,Wed Mar 02 00:00:00 CET 2016,580.210022,157.98849405019305
FB,Wed Mar 02 00:00:00 CET 2016,580.210022,573.91000375
GOOG,Tue Mar 01 00:00:00 CET 2016,579.039978,390.4043999397356
AAPL,Tue Mar 01 00:00:00 CET 2016,579.039978,390.4043999397356
AMZN,Tue Mar 01 00:00:00 CET 2016,579.039978,159.6079228346154
FB,Tue Mar 01 00:00:00 CET 2016,579.039978,574.9359986
GOOG,Mon Feb 29 00:00:00 CET 2016,552.52002,390.70912854887143
AAPL,Mon Feb 29 00:00:00 CET 2016,552.52002,390.70912854887143
AMZN,Mon Feb 29 00:00:00 CET 2016,552.52002,161.11333316858241
FB,Mon Feb 29 00:00:00 CET 2016,552.52002,571.2000021666666
GOOG,Fri Feb 26 00:00:00 CET 2016,555.22998,391.01779806378914
AAPL,Fri Feb 26 00:00:00 CET 2016,555.22998,391.01779806378914
AMZN,Fri Feb 26 00:00:00 CET 2016,555.22998,162.61759517938933
FB,Fri Feb 26 00:00:00 CET 2016,555.22998,568.9185704285713
GOOG,Thu Feb 25 00:00:00 CET 2016,555.150024,391.3251617827708
AAPL,Thu Feb 25 00:00:00 CET 2016,555.150024,391.3251617827708
AMZN,Thu Feb 25 00:00:00 CET 2016,555.150024,164.11011392015212
FB,Thu Feb 25 00:00:00 CET 2016,555.150024,567.197502125
GOOG,Wed Feb 24 00:00:00 CET 2016,554.039978,391.6293016261675
AAPL,Wed Feb 24 00:00:00 CET 2016,554.039978,391.6293016261675
AMZN,Wed Feb 24 00:00:00 CET 2016,554.039978,165.58712098106065
FB,Wed Feb 24 00:00:00 CET 2016,554.039978,565.735555
GOOG,Tue Feb 23 00:00:00 CET 2016,552.940002,391.93025442537237
AAPL,Tue Feb 23 00:00:00 CET 2016,552.940002,391.93025442537237
AMZN,Tue Feb 23 00:00:00 CET 2016,552.940002,167.04882996603777
FB,Tue Feb 23 00:00:00 CET 2016,552.940002,564.4559997
GOOG,Mon Feb 22 00:00:00 CET 2016,559.5,392.2423023687143
AAPL,Mon Feb 22 00:00:00 CET 2016,559.5,392.2423023687143
AMZN,Mon Feb 22 00:00:00 CET 2016,559.5,168.5242103045113
FB,Mon Feb 22 00:00:00 CET 2016,559.5,564.0054542727273
GOOG,Fri Feb 19 00:00:00 CET 2016,534.900024,392.5074654200736
AAPL,Fri Feb 19 00:00:00 CET 2016,534.900024,392.5074654200736
AMZN,Fri Feb 19 00:00:00 CET 2016,534.900024,169.89640436329594
FB,Fri Feb 19 00:00:00 CET 2016,534.900024,561.5800017500001
GOOG,Thu Feb 18 00:00:00 CET 2016,525.0,392.75327717254095
AAPL,Thu Feb 18 00:00:00 CET 2016,525.0,392.75327717254095
AMZN,Thu Feb 18 00:00:00 CET 2016,525.0,171.2214177798508
FB,Thu Feb 18 00:00:00 CET 2016,525.0,558.7661554615386
GOOG,Wed Feb 17 00:00:00 CET 2016,534.099976,393.01503031851774
AAPL,Wed Feb 17 00:00:00 CET 2016,534.099976,393.01503031851774
AMZN,Wed Feb 17 00:00:00 CET 2016,534.099976,172.57040870260226
FB,Wed Feb 17 00:00:00 CET 2016,534.099976,557.0042855
GOOG,Tue Feb 16 00:00:00 CET 2016,521.099976,393.25178622550754
AAPL,Tue Feb 16 00:00:00 CET 2016,521.099976,393.25178622550754
AMZN,Tue Feb 16 00:00:00 CET 2016,521.099976,173.86125895185188
FB,Tue Feb 16 00:00:00 CET 2016,521.099976,554.6106648666666
GOOG,Fri Feb 12 00:00:00 CET 2016,507.079987,393.4618013560878
AAPL,Fri Feb 12 00:00:00 CET 2016,507.079987,393.4618013560878
AMZN,Fri Feb 12 00:00:00 CET 2016,507.079987,175.09084835424358
FB,Fri Feb 12 00:00:00 CET 2016,507.079987,551.6399974999999
GOOG,Thu Feb 11 00:00:00 CET 2016,503.820007,393.66503930386665
AAPL,Thu Feb 11 00:00:00 CET 2016,503.820007,393.66503930386665
AMZN,Thu Feb 11 00:00:00 CET 2016,503.820007,176.29941143750003
FB,Thu Feb 11 00:00:00 CET 2016,503.820007,548.8270568823528
GOOG,Wed Feb 10 00:00:00 CET 2016,490.480011,393.84300800183746
AAPL,Wed Feb 10 00:00:00 CET 2016,490.480011,393.84300800183746
AMZN,Wed Feb 10 00:00:00 CET 2016,490.480011,177.45025612454216
FB,Wed Feb 10 00:00:00 CET 2016,490.480011,545.5855543333332
GOOG,Tue Feb 09 00:00:00 CET 2016,482.070007,394.004892403669
AAPL,Tue Feb 09 00:00:00 CET 2016,482.070007,394.004892403669
AMZN,Tue Feb 09 00:00:00 CET 2016,482.070007,178.56200704014603
FB,Tue Feb 09 00:00:00 CET 2016,482.070007,542.2426307894737
GOOG,Mon Feb 08 00:00:00 CET 2016,488.100006,394.17722777655604
AAPL,Mon Feb 08 00:00:00 CET 2016,488.100006,394.17722777655604
AMZN,Mon Feb 08 00:00:00 CET 2016,488.100006,179.6875997636364
FB,Mon Feb 08 00:00:00 CET 2016,488.100006,539.5354995499999
GOOG,Fri Feb 05 00:00:00 CET 2016,502.130005,394.37458203107786
AAPL,Fri Feb 05 00:00:00 CET 2016,502.130005,394.37458203107786
AMZN,Fri Feb 05 00:00:00 CET 2016,502.130005,180.85586934782611
FB,Fri Feb 05 00:00:00 CET 2016,502.130005,537.7542855238095
GOOG,Thu Feb 04 00:00:00 CET 2016,536.26001,394.6334970456197
AAPL,Thu Feb 04 00:00:00 CET 2016,536.26001,394.6334970456197
AMZN,Thu Feb 04 00:00:00 CET 2016,536.26001,182.13891678700364
FB,Thu Feb 04 00:00:00 CET 2016,536.26001,537.6863639090908
GOOG,Wed Feb 03 00:00:00 CET 2016,531.070007,394.8820152786878
AAPL,Wed Feb 03 00:00:00 CET 2016,531.070007,394.8820152786878
AMZN,Wed Feb 03 00:00:00 CET 2016,531.070007,183.39406459352523
FB,Wed Feb 03 00:00:00 CET 2016,531.070007,537.3986962173913
GOOG,Tue Feb 02 00:00:00 CET 2016,552.099976,395.1678661163629
AAPL,Tue Feb 02 00:00:00 CET 2016,552.099976,395.1678661163629
AMZN,Tue Feb 02 00:00:00 CET 2016,552.099976,184.71559115770611
FB,Tue Feb 02 00:00:00 CET 2016,552.099976,538.0112495416666
GOOG,Mon Feb 01 00:00:00 CET 2016,574.809998,395.4938953938287
AAPL,Mon Feb 01 00:00:00 CET 2016,574.809998,395.4938953938287
AMZN,Mon Feb 01 00:00:00 CET 2016,574.809998,186.10878546785716
FB,Mon Feb 01 00:00:00 CET 2016,574.809998,539.4831994799999
GOOG,Fri Jan 29 00:00:00 CET 2016,587.0,395.84082674275294
AAPL,Fri Jan 29 00:00:00 CET 2016,587.0,395.84082674275294
AMZN,Fri Jan 29 00:00:00 CET 2016,587.0,187.53544459430606
FB,Fri Jan 29 00:00:00 CET 2016,587.0,541.3107687307692
GOOG,Thu Jan 28 00:00:00 CET 2016,635.349976,396.27393551175334
