GOOG,date,closing,avg
GOOG,Wed Apr 06 00:00:00 CEST 2016,745.690002,745.690002
GOOG,Tue Apr 05 00:00:00 CEST 2016,737.799988,741.744995
GOOG,Mon Apr 04 00:00:00 CEST 2016,745.289978,742.926656
GOOG,Fri Apr 01 00:00:00 CEST 2016,749.909973,744.6724852499999
GOOG,Thu Mar 31 00:00:00 CEST 2016,744.950012,744.7279906
GOOG,Wed Mar 30 00:00:00 CEST 2016,750.530029,745.694997
GOOG,Tue Mar 29 00:00:00 CEST 2016,744.77002,745.5628574285713
GOOG,Mon Mar 28 00:00:00 CEST 2016,733.530029,744.0587538749999
GOOG,Thu Mar 24 00:00:00 CET 2016,735.299988,743.0855576666665
GOOG,Wed Mar 23 00:00:00 CET 2016,738.059998,742.5830016999998
GOOG,Tue Mar 22 00:00:00 CET 2016,740.75,742.416365181818
GOOG,Mon Mar 21 00:00:00 CET 2016,742.090027,742.3891703333333
GOOG,Fri Mar 18 00:00:00 CET 2016,737.599976,742.0207707692306
GOOG,Thu Mar 17 00:00:00 CET 2016,737.780029,741.717860642857
GOOG,Wed Mar 16 00:00:00 CET 2016,736.090027,741.3426717333332
GOOG,Tue Mar 15 00:00:00 CET 2016,728.330017,740.5293808124999
GOOG,Mon Mar 14 00:00:00 CET 2016,730.48999,739.9388284117646
GOOG,Fri Mar 11 00:00:00 CET 2016,726.820007,739.2100049999999
GOOG,Thu Mar 10 00:00:00 CET 2016,712.820007,737.821057736842
GOOG,Wed Mar 09 00:00:00 CET 2016,705.23999,736.1920043499999
GOOG,Tue Mar 08 00:00:00 CET 2016,693.969971,734.1814313333333
GOOG,Mon Mar 07 00:00:00 CET 2016,695.159973,732.4077286818182
GOOG,Fri Mar 04 00:00:00 CET 2016,710.890015,731.4721759130434
GOOG,Thu Mar 03 00:00:00 CET 2016,712.419983,730.6783345416666
GOOG,Wed Mar 02 00:00:00 CET 2016,718.849976,730.2052001999999
GOOG,Tue Mar 01 00:00:00 CET 2016,718.809998,729.7669231923077
GOOG,Mon Feb 29 00:00:00 CET 2016,697.77002,728.5818527037037
GOOG,Fri Feb 26 00:00:00 CET 2016,705.070007,727.7421439285714
GOOG,Thu Feb 25 00:00:00 CET 2016,705.75,726.983794137931
GOOG,Wed Feb 24 00:00:00 CET 2016,699.559998,726.0696676
GOOG,Tue Feb 23 00:00:00 CET 2016,695.849976,725.0948388387097
GOOG,Mon Feb 22 00:00:00 CET 2016,706.460022,724.5125008125
GOOG,Fri Feb 19 00:00:00 CET 2016,700.909973,723.7972726969697
GOOG,Thu Feb 18 00:00:00 CET 2016,697.349976,723.0194110294118
GOOG,Wed Feb 17 00:00:00 CET 2016,708.400024,722.6017142571429
GOOG,Tue Feb 16 00:00:00 CET 2016,691.0,721.7238888611112
GOOG,Fri Feb 12 00:00:00 CET 2016,682.400024,720.6610817027027
GOOG,Thu Feb 11 00:00:00 CET 2016,683.109985,719.6728949473684
GOOG,Wed Feb 10 00:00:00 CET 2016,684.119995,718.7612821282052
GOOG,Tue Feb 09 00:00:00 CET 2016,678.109985,717.7449997
GOOG,Mon Feb 08 00:00:00 CET 2016,682.73999,716.8912189756097
GOOG,Fri Feb 05 00:00:00 CET 2016,683.570007,716.0978567857143
GOOG,Thu Feb 04 00:00:00 CET 2016,708.01001,715.9097673255815
GOOG,Wed Feb 03 00:00:00 CET 2016,726.950012,716.1606819772728
GOOG,Tue Feb 02 00:00:00 CET 2016,764.650024,717.2382229111112
GOOG,Mon Feb 01 00:00:00 CET 2016,752.0,717.9939137173914
