MSFT,date,closing,avg
MSFT,Tue Dec 01 00:00:00 CET 2015,679.059998,679.059998
MSFT,Tue Sep 08 00:00:00 CEST 2015,112.309998,395.68499799999995
MSFT,Tue Apr 05 00:00:00 CEST 2016,112.220001,301.19666566666666
MSFT,Mon Nov 30 00:00:00 CET 2015,664.799988,392.09749624999995
MSFT,Fri Sep 04 00:00:00 CEST 2015,109.269997,335.53199639999997
MSFT,Mon Apr 04 00:00:00 CEST 2016,112.550003,298.36833083333335
MSFT,Fri Nov 27 00:00:00 CET 2015,673.26001,351.924285
MSFT,Thu Sep 03 00:00:00 CEST 2015,110.370003,321.72999975
MSFT,Fri Apr 01 00:00:00 CEST 2016,116.059998,298.87777733333337
MSFT,Wed Nov 25 00:00:00 CET 2015,675.340027,336.5240023
MSFT,Wed Sep 02 00:00:00 CEST 2015,112.339996,316.1436380909091
MSFT,Thu Mar 31 00:00:00 CEST 2016,114.099998,299.30666808333336
MSFT,Tue Nov 24 00:00:00 CET 2015,671.150024,327.9100031538462
MSFT,Tue Sep 01 00:00:00 CEST 2015,107.720001,312.1821458571429
MSFT,Wed Mar 30 00:00:00 CEST 2016,114.699997,299.0166692666667
MSFT,Mon Nov 23 00:00:00 CET 2015,678.98999,322.76500181250003
MSFT,Mon Aug 31 00:00:00 CEST 2015,112.760002,310.4117665294118
MSFT,Tue Mar 29 00:00:00 CEST 2016,116.139999,299.6188905555556
MSFT,Fri Nov 20 00:00:00 CET 2015,668.450012,319.0310548421053
MSFT,Fri Aug 28 00:00:00 CEST 2015,113.290001,308.74400215000003
MSFT,Mon Mar 28 00:00:00 CEST 2016,113.690002,299.45571642857146
MSFT,Thu Nov 19 00:00:00 CET 2015,661.27002,315.9018211363637
MSFT,Thu Aug 27 00:00:00 CEST 2015,112.919998,307.0765244782609
MSFT,Thu Mar 24 00:00:00 CET 2016,113.050003,298.9920860833334
MSFT,Wed Nov 18 00:00:00 CET 2015,663.539978,313.57400176000004
MSFT,Wed Aug 26 00:00:00 CEST 2015,109.690002,305.73230946153853
MSFT,Wed Mar 23 00:00:00 CET 2016,112.540001,298.5770387777779
MSFT,Tue Nov 17 00:00:00 CET 2015,643.299988,310.8885726785715
MSFT,Tue Aug 25 00:00:00 CEST 2015,103.739998,303.7455183793104
MSFT,Tue Mar 22 00:00:00 CET 2016,112.25,297.3623344333334
MSFT,Mon Nov 16 00:00:00 CET 2015,647.809998,308.6670977741936
MSFT,Mon Aug 24 00:00:00 CEST 2015,103.120003,302.24375106250005
MSFT,Mon Mar 21 00:00:00 CET 2016,111.849998,296.47424339393945
MSFT,Fri Nov 13 00:00:00 CET 2015,642.349976,306.6470590588236
MSFT,Fri Aug 21 00:00:00 CEST 2015,105.760002,300.9074288571429
MSFT,Fri Mar 18 00:00:00 CET 2016,111.449997,295.6447224166667
MSFT,Thu Nov 12 00:00:00 CET 2015,665.599976,305.6435130540541
MSFT,Thu Aug 20 00:00:00 CEST 2015,112.650002,300.56473644736843
MSFT,Thu Mar 17 00:00:00 CET 2016,111.019997,295.7046149230769
MSFT,Wed Nov 11 00:00:00 CET 2015,673.25,305.14324955
MSFT,Wed Aug 19 00:00:00 CEST 2015,115.010002,300.5058532682927
MSFT,Wed Mar 16 00:00:00 CET 2016,112.18,296.02190438095244
MSFT,Tue Nov 10 00:00:00 CET 2015,659.679993,304.4790692325582
MSFT,Tue Aug 18 00:00:00 CEST 2015,116.5,300.206817659091
MSFT,Tue Mar 15 00:00:00 CET 2016,110.669998,295.99488833333334
MSFT,Mon Nov 09 00:00:00 CET 2015,655.48999,303.80999923913043
MSFT,Mon Aug 17 00:00:00 CEST 2015,117.160004,299.83872274468087
MSFT,Mon Mar 14 00:00:00 CET 2016,109.889999,295.8814576666667
MSFT,Wed Apr 06 00:00:00 CEST 2016,55.119999,290.96795851020414
MSFT,Fri Nov 06 00:00:00 CET 2015,659.369995,298.33599924000004
MSFT,Fri Aug 14 00:00:00 CEST 2015,115.959999,294.7599992352942
MSFT,Fri Mar 11 00:00:00 CET 2016,109.410004,291.19557625000004
MSFT,Tue Apr 05 00:00:00 CEST 2016,54.560001,286.73075407547174
MSFT,Thu Nov 05 00:00:00 CET 2015,655.650024,293.5625924074074
MSFT,Thu Aug 13 00:00:00 CEST 2015,115.150002,290.3187271272728
MSFT,Thu Mar 10 00:00:00 CET 2016,107.32,287.05089271428574
MSFT,Mon Apr 04 00:00:00 CEST 2016,55.43,282.9873682807018
MSFT,Wed Nov 04 00:00:00 CET 2015,640.950012,289.15913800000004
MSFT,Wed Aug 12 00:00:00 CEST 2015,115.239998,286.21135596610173
MSFT,Wed Mar 09 00:00:00 CET 2016,107.510002,283.2330000666667
MSFT,Fri Apr 01 00:00:00 CEST 2016,55.57,279.50081973770494
MSFT,Tue Nov 03 00:00:00 CET 2015,625.309998,285.07838712903225
MSFT,Tue Aug 11 00:00:00 CEST 2015,113.489998,282.3547619047619
MSFT,Tue Mar 08 00:00:00 CET 2016,105.93,279.59812500000004
MSFT,Thu Mar 31 00:00:00 CEST 2016,55.23,276.14630769230774
MSFT,Mon Nov 02 00:00:00 CET 2015,628.349976,281.48272690909096
MSFT,Mon Aug 10 00:00:00 CEST 2015,119.720001,279.0683578656717
MSFT,Mon Mar 07 00:00:00 CET 2016,105.730003,276.51926441176477
MSFT,Wed Mar 30 00:00:00 CEST 2016,55.049999,273.3095649130435
MSFT,Fri Oct 30 00:00:00 CET 2015,625.900024,278.3465714714286
MSFT,Fri Aug 07 00:00:00 CEST 2015,115.519997,276.0532394366198
MSFT,Fri Mar 04 00:00:00 CET 2016,108.389999,273.7245833194445
MSFT,Tue Mar 29 00:00:00 CEST 2016,54.709999,270.72438353424656
MSFT,Thu Oct 29 00:00:00 CET 2015,626.549988,275.53283764864864
MSFT,Thu Aug 06 00:00:00 CEST 2015,115.129997,273.39413310666663
MSFT,Thu Mar 03 00:00:00 CET 2016,109.580002,271.23868401315787
MSFT,Mon Mar 28 00:00:00 CEST 2016,53.540001,268.41142838961036
MSFT,Wed Oct 28 00:00:00 CET 2015,617.099976,272.8817943846154
MSFT,Wed Aug 05 00:00:00 CEST 2015,115.400002,270.8883539746835
MSFT,Wed Mar 02 00:00:00 CET 2016,109.949997,268.8766245125
MSFT,Thu Mar 24 00:00:00 CET 2016,54.209999,266.2264192592592
MSFT,Tue Oct 27 00:00:00 CET 2015,611.01001,270.4310971951219
MSFT,Tue Aug 04 00:00:00 CEST 2015,114.639999,268.55409601204815
MSFT,Tue Mar 01 00:00:00 CET 2016,109.82,266.6644043928571
MSFT,Wed Mar 23 00:00:00 CET 2016,53.970001,264.1621172941176
MSFT,Mon Oct 26 00:00:00 CET 2015,608.609985,268.16732505813945
MSFT,Mon Aug 03 00:00:00 CEST 2015,118.440002,266.44632134482754
MSFT,Mon Feb 29 00:00:00 CET 2016,106.919998,264.63352221590907
MSFT,Tue Mar 22 00:00:00 CET 2016,54.07,262.2676399438202
MSFT,Fri Oct 23 00:00:00 CEST 2015,599.030029,266.0094442666666
MSFT,Fri Jul 31 00:00:00 CEST 2015,121.300003,264.4192306263736
MSFT,Fri Feb 26 00:00:00 CET 2016,107.919998,262.7181520108696
MSFT,Mon Mar 21 00:00:00 CET 2016,53.860001,260.4723654408602
MSFT,Thu Oct 22 00:00:00 CEST 2015,563.909973,263.70042509574466
MSFT,Thu Jul 30 00:00:00 CEST 2015,122.370003,262.21273644210527
MSFT,Thu Feb 25 00:00:00 CET 2016,108.07,260.6070829375
MSFT,Fri Mar 18 00:00:00 CET 2016,53.490002,258.47185529896905
MSFT,Wed Oct 21 00:00:00 CEST 2015,555.77002,261.5055100408163
MSFT,Wed Jul 29 00:00:00 CEST 2015,122.989998,260.10636345454543
MSFT,Wed Feb 24 00:00:00 CET 2016,106.879997,258.57409979
MSFT,Thu Mar 17 00:00:00 CET 2016,54.66,256.5551483069307
MSFT,Tue Oct 20 00:00:00 CEST 2015,560.880005,259.53872533333333
MSFT,Tue Jul 28 00:00:00 CEST 2015,123.379997,258.21679593203885
MSFT,Tue Feb 23 00:00:00 CET 2016,105.459999,256.74798057692306
MSFT,Wed Mar 16 00:00:00 CET 2016,54.349998,254.82038074285714
MSFT,Mon Oct 19 00:00:00 CEST 2015,573.150024,257.82349058490564
MSFT,Mon Jul 27 00:00:00 CEST 2015,122.769997,256.56130840186916
MSFT,Wed Apr 06 00:00:00 CEST 2016,17.26,254.34555554629625
MSFT,Mon Feb 22 00:00:00 CET 2016,107.160004,252.99522938532107
MSFT,Tue Mar 15 00:00:00 CET 2016,53.59,251.18245457272724
MSFT,Fri Oct 16 00:00:00 CEST 2015,570.76001,254.06153164864864
MSFT,Fri Jul 24 00:00:00 CEST 2015,124.5,252.90473225892856
MSFT,Tue Apr 05 00:00:00 CEST 2016,17.049999,250.81752223008849
MSFT,Fri Feb 19 00:00:00 CET 2016,104.57,249.53464922807015
MSFT,Mon Mar 14 00:00:00 CET 2016,53.169998,247.82713052173912
MSFT,Thu Oct 15 00:00:00 CEST 2015,562.440002,250.53931044827584
MSFT,Thu Jul 23 00:00:00 CEST 2015,125.160004,249.46769244444445
MSFT,Mon Apr 04 00:00:00 CEST 2016,17.09,247.49838996610168
MSFT,Thu Feb 18 00:00:00 CET 2016,103.470001,246.28806736974792
MSFT,Fri Mar 11 00:00:00 CET 2016,53.07,244.67791680833335
MSFT,Wed Oct 14 00:00:00 CEST 2015,544.830017,247.15851267768596
MSFT,Wed Jul 22 00:00:00 CEST 2015,125.220001,246.15901668032788
MSFT,Fri Apr 01 00:00:00 CEST 2016,15.98,244.28764256097563
MSFT,Wed Feb 17 00:00:00 CET 2016,105.199997,243.16596800000002
MSFT,Thu Mar 10 00:00:00 CET 2016,52.049999,241.637040248
MSFT,Tue Oct 13 00:00:00 CEST 2015,548.900024,244.07563535714286
MSFT,Tue Jul 21 00:00:00 CEST 2015,130.75,243.18330751968503
MSFT,Thu Mar 31 00:00:00 CEST 2016,16.549999,241.412734796875
MSFT,Tue Feb 16 00:00:00 CET 2016,101.610001,240.3289926744186
MSFT,Wed Mar 09 00:00:00 CET 2016,52.84,238.88676965384616
MSFT,Mon Oct 12 00:00:00 CEST 2015,550.190002,241.26313020610687
MSFT,Mon Jul 20 00:00:00 CEST 2015,132.070007,240.43590957575756
MSFT,Wed Mar 30 00:00:00 CEST 2016,16.360001,238.75112830827067
MSFT,Fri Feb 12 00:00:00 CET 2016,102.010002,237.73067214179102
MSFT,Tue Mar 08 00:00:00 CET 2016,51.650002,236.35229680740738
MSFT,Fri Oct 09 00:00:00 CEST 2015,539.799988,238.5835298308823
MSFT,Fri Jul 17 00:00:00 CEST 2015,129.619995,237.78817556204376
MSFT,Tue Mar 29 00:00:00 CEST 2016,15.97,236.18079747826084
MSFT,Thu Feb 11 00:00:00 CET 2016,101.910004,235.21482054676258
MSFT,Mon Mar 07 00:00:00 CET 2016,51.029999,233.8992146785714
MSFT,Thu Oct 08 00:00:00 CEST 2015,533.159973,236.02163140425532
MSFT,Thu Jul 16 00:00:00 CEST 2015,128.509995,235.26450720422534
MSFT,Mon Mar 28 00:00:00 CEST 2016,15.6,233.72839176923074
MSFT,Wed Feb 10 00:00:00 CET 2016,101.0,232.80666682638886
MSFT,Fri Mar 04 00:00:00 CET 2016,52.029999,231.55993118620685
MSFT,Wed Oct 07 00:00:00 CEST 2015,541.940002,233.68582208219178
MSFT,Wed Jul 15 00:00:00 CEST 2015,126.82,232.95884370068026
MSFT,Thu Mar 24 00:00:00 CET 2016,15.91,231.49229745945948
MSFT,Tue Feb 09 00:00:00 CET 2016,99.540001,230.60671157718122
MSFT,Thu Mar 03 00:00:00 CET 2016,52.349998,229.41833348666668
MSFT,Tue Oct 06 00:00:00 CEST 2015,537.47998,231.4584768410596
MSFT,Tue Jul 14 00:00:00 CEST 2015,125.610001,230.76210528947368
MSFT,Wed Mar 23 00:00:00 CET 2016,16.01,229.35849675816993
MSFT,Mon Feb 08 00:00:00 CET 2016,99.75,228.51688314285715
MSFT,Wed Mar 02 00:00:00 CET 2016,52.950001,227.38419358064513
MSFT,Mon Oct 05 00:00:00 CEST 2015,543.679993,229.41173075641024
MSFT,Mon Jul 13 00:00:00 CEST 2015,125.660004,228.75089173248404
MSFT,Tue Mar 22 00:00:00 CET 2016,16.860001,227.4098101455696
MSFT,Fri Feb 05 00:00:00 CET 2016,104.07,226.63408806918235
MSFT,Tue Mar 01 00:00:00 CET 2016,52.580002,225.54625003124997
MSFT,Fri Oct 02 00:00:00 CEST 2015,532.539978,227.45304337267078
MSFT,Fri Jul 10 00:00:00 CEST 2015,123.279999,226.80999988888885
MSFT,Mon Mar 21 00:00:00 CET 2016,16.889999,225.52214712269935
MSFT,Thu Feb 04 00:00:00 CET 2016,110.489998,224.82073157926823
MSFT,Mon Feb 29 00:00:00 CET 2016,50.880001,223.76654533333326
MSFT,Thu Oct 01 00:00:00 CEST 2015,520.719971,225.5554213915662
MSFT,Thu Jul 09 00:00:00 CEST 2015,120.07,224.92377216167657
MSFT,Fri Mar 18 00:00:00 CET 2016,16.85,223.68523780357134
MSFT,Wed Feb 03 00:00:00 CET 2016,112.690002,223.02846126035496
MSFT,Fri Feb 26 00:00:00 CET 2016,51.299999,222.01829383529406
MSFT,Wed Sep 30 00:00:00 CEST 2015,511.890015,223.71345009941513
MSFT,Wed Jul 08 00:00:00 CEST 2015,122.57,223.12540678488367
MSFT,Thu Mar 17 00:00:00 CET 2016,16.85,221.93306339306352
MSFT,Tue Feb 02 00:00:00 CET 2016,114.610001,221.31626418390798
MSFT,Thu Feb 25 00:00:00 CET 2016,52.099998,220.34931409142848
MSFT,Tue Sep 29 00:00:00 CEST 2015,496.070007,221.91590893749992
MSFT,Tue Jul 07 00:00:00 CEST 2015,125.690002,221.37225974576265
MSFT,Wed Mar 16 00:00:00 CET 2016,16.700001,220.22241559550557
MSFT,Mon Feb 01 00:00:00 CET 2016,115.089996,219.63508364245806
MSFT,Wed Feb 24 00:00:00 CET 2016,51.360001,218.70022207222218
MSFT,Mon Sep 28 00:00:00 CEST 2015,504.059998,220.27679541988945
MSFT,Mon Jul 06 00:00:00 CEST 2015,126.0,219.75879104945048
MSFT,Tue Mar 15 00:00:00 CET 2016,16.190001,218.64639328961744
MSFT,Fri Jan 29 00:00:00 CET 2016,112.209999,218.06793462499994
MSFT,Tue Feb 23 00:00:00 CET 2016,51.18,217.16583768108103
MSFT,Fri Sep 25 00:00:00 CEST 2015,524.25,218.81682780107522
MSFT,Thu Jul 02 00:00:00 CEST 2015,126.440002,218.32283408021388
MSFT,Mon Mar 14 00:00:00 CET 2016,17.120001,217.25260624468083
MSFT,Thu Jan 28 00:00:00 CET 2016,109.110001,216.68042314814812
MSFT,Mon Feb 22 00:00:00 CET 2016,52.650002,215.81710514210525
