TWTR,date,closing,avg
GOOG,Fri May 01 00:00:00 CEST 2015,78.989998,352.44884989939663
AAPL,Fri May 01 00:00:00 CEST 2015,78.989998,352.44884989939663
AMZN,Fri May 01 00:00:00 CEST 2015,78.989998,255.22473080082958
FB,Fri May 01 00:00:00 CEST 2015,78.989998,311.760898344017
MSFT,Fri May 01 00:00:00 CEST 2015,78.989998,94.93606662085315
GOOG,Mon Apr 04 00:00:00 CEST 2016,55.43,352.15033849246254
AAPL,Mon Apr 04 00:00:00 CEST 2016,55.43,352.15033849246254
AMZN,Mon Apr 04 00:00:00 CEST 2016,55.43,254.94877122790027
FB,Mon Apr 04 00:00:00 CEST 2016,55.43,311.2143505863538
MSFT,Mon Apr 04 00:00:00 CEST 2016,55.43,94.74971725000007
GOOG,Thu Apr 30 00:00:00 CEST 2015,78.769997,351.87586023795205
AAPL,Thu Apr 30 00:00:00 CEST 2015,78.769997,351.87586023795205
AMZN,Thu Apr 30 00:00:00 CEST 2015,78.769997,254.70576602206867
FB,Thu Apr 30 00:00:00 CEST 2015,78.769997,310.71978813191475
MSFT,Thu Apr 30 00:00:00 CEST 2015,78.769997,94.67469508920195
GOOG,Fri Apr 01 00:00:00 CEST 2016,55.57,351.5786627853563
TWTR,Thu Apr 30 00:00:00 CEST 2015,78.769997,78.769997
AAPL,Fri Apr 01 00:00:00 CEST 2016,55.57,351.5786627853563
AMZN,Fri Apr 01 00:00:00 CEST 2016,55.57,254.43147433333306
GOOG,Wed Apr 29 00:00:00 CEST 2015,80.470001,351.30701081963946
FB,Fri Apr 01 00:00:00 CEST 2016,55.57,310.1780688365179
AAPL,Wed Apr 29 00:00:00 CEST 2015,80.470001,351.30701081963946
AMZN,Wed Apr 29 00:00:00 CEST 2015,80.470001,254.19218757496535
MSFT,Fri Apr 01 00:00:00 CEST 2016,55.57,94.49196286915894
FB,Wed Apr 29 00:00:00 CEST 2015,80.470001,309.6913992012711
TWTR,Fri Apr 01 00:00:00 CEST 2016,55.57,67.1699985
MSFT,Wed Apr 29 00:00:00 CEST 2015,80.470001,94.42674444186054
TWTR,GOOG,Wed Apr 29 00:00:00 CEST 2015,80.470001,Thu Mar 31 00:00:00 CEST 201671.60333266666667,
55.23,351.0106374354356
AAPL,Thu Mar 31 00:00:00 CEST 2016,55.23,351.0106374354356
GOOG,Tue Apr 28 00:00:00 CEST 2015,AMZN,80.68,Thu Mar 31 00:00:00 CEST 2016,350.740306798000255.23
,253.91888786675798
AAPL,Tue Apr 28 00:00:00 CEST 2015,80.68,350.7403067980002
FB,Thu Mar 31 00:00:00 CEST 2016,55.23,309.1534258414376
AMZN,Tue Apr 28 00:00:00 CEST 2015,80.68,253.68124878875145
MSFT,Thu Mar 31 00:00:00 CEST 2016,55.23,94.24527803240747
FB,Tue Apr 28 00:00:00 CEST 2015,80.68,308.67141439451467
TWTR,Thu Mar 31 00:00:00 CEST 2016,55.23,67.5099995
MSFT,Tue Apr 28 00:00:00 CEST 2015,80.68,94.18276523041482
GOOG,Wed Mar 30 00:00:00 CEST 2016,55.049999,350.44491188511506
TWTR,Tue Apr 28 00:00:00 CEST 2015,80.68,70.1439996
AAPL,Wed Mar 30 00:00:00 CEST 2016,55.049999,350.44491188511506
AMZN,Wed Mar 30 00:00:00 CEST 2016,55.049999,253.4091511863011
GOOG,Mon Apr 27 00:00:00 CEST 2015,81.910004,350.1769129750501
AAPL,Mon Apr 27 00:00:00 CEST 2015,81.910004,350.1769129750501
FB,Wed Mar 30 00:00:00 CEST 2016,55.049999,308.1374745726315
AMZN,Mon Apr 27 00:00:00 CEST 2015,81.910004,253.17454222982192
MSFT,Wed Mar 30 00:00:00 CEST 2016,55.049999,94.00325712844042
FB,Mon Apr 27 00:00:00 CEST 2015,81.910004,307.66220677731087
TWTR,Wed Mar 30 00:00:00 CEST 2016,55.049999,67.62833283333335
MSFT,Mon Apr 27 00:00:00 CEST 2015,81.910004,93.94803679452062
TWTR,Mon Apr 27 00:00:00 CEST 2015,81.910004,69.66857157142859
GOOG,Tue Mar 29 00:00:00 CEST 2016,54.709999,349.8823298105685
AAPL,Tue Mar 29 00:00:00 CEST 2016,GOOG54.709999,,349.8823298105685
Fri Apr 24 00:00:00 CEST 2015,81.529999,349.61504661255
AMZN,Tue Mar 29 00:00:00 CEST 2016,54.709999,252.90341580464457
AAPL,Fri Apr 24 00:00:00 CEST 2015,81.529999,349.61504661255
FB,Tue Mar 29 00:00:00 CEST 2016,54.709999,307.1319086477987
AMZN,Fri Apr 24 00:00:00 CEST 2015,81.529999,252.6696185102317
MSFT,Tue Mar 29 00:00:00 CEST 2016,54.709999,93.76968207727279
FB,Fri Apr 24 00:00:00 CEST 2015,81.529999,306.65993812552296
TWTR,Tue Mar 29 00:00:00 CEST 2016,54.709999,67.79875000000001
MSFT,Fri Apr 24 00:00:00 CEST 2015,81.529999,93.71429889592766
TWTR,Fri Apr 24 00:00:00 CEST 2015,81.529999,69.32444433333335
GOOG,Mon Mar 28 00:00:00 CEST 2016,53.540001,349.3204445771146
AAPL,Mon Mar 28 00:00:00 CEST 2016,53.540001,349.3204445771146
AMZN,Mon Mar 28 00:00:00 CEST 2016,53.540001,252.39832475340575
FB,Mon Mar 28 00:00:00 CEST 2016,53.540001,306.1315040187891
MSFT,Mon Mar 28 00:00:00 CEST 2016,53.540001,93.53333359009015
TWTR,Mon Mar 28 00:00:00 CEST 2016,53.540001,67.74600000000001
GOOG,Thu Apr 23 00:00:00 CEST 2015,82.410004,349.0551260477139
AAPL,Thu Apr 23 00:00:00 CEST 2015,82.410004,349.0551260477139
AMZN,Thu Apr 23 00:00:00 CEST 2015,82.410004,252.16704812653035
GOOG,Thu Mar 24 00:00:00 CET 2016,54.209999,348.7623304895732
FB,Thu Apr 23 00:00:00 CEST 2015,82.410004,305.6654175604166
AAPL,Thu Mar 24 00:00:00 CET 2016,54.209999,348.7623304895732
AMZN,Thu Mar 24 00:00:00 CET 2016,54.209999,251.89808474456498
MSFT,Thu Apr 23 00:00:00 CEST 2015,82.410004,93.48345318834087
FB,Thu Mar 24 00:00:00 CET 2016,54.209999,305.14264122245316
TWTR,Thu Apr 23 00:00:00 CEST 2015,82.410004,69.07909127272727
MSFT,Thu Mar 24 00:00:00 CET 2016,54.209999,93.3081252678572
TWTR,Thu Mar 24 00:00:00 CET 2016,54.209999,67.84000025
GOOG,Wed Apr 22 00:00:00 CEST 2015,84.629997,348.50029444444465
AAPL,Wed Apr 22 00:00:00 CEST 2015,84.629997,348.50029444444465
GOOG,Wed Mar 23 00:00:00 CET 2016,53.970001,348.20839127948483
AMZN,Wed Apr 22 00:00:00 CEST 2015,84.629997,251.6711266879238
AAPL,Wed Mar 23 00:00:00 CET 2016,53.970001,348.20839127948483
FB,Wed Apr 22 00:00:00 CEST 2015,84.629997,304.6851461099585
MSFT,Wed Apr 22 00:00:00 CEST 2015,84.629997,93.26955580888895
TWTR,Wed Apr 22 00:00:00 CEST 2015,84.629997,69.13153846153847
GOOG,Tue Apr 21 00:00:00 CEST 2015,83.620003,347.946422578218
AAPL,Tue Apr 21 00:00:00 CEST 2015,83.620003,347.946422578218
AMZN,Wed Mar 23 00:00:00 CET 2016,53.970001,251.40323898373964
FB,Wed Mar 23 00:00:00 CET 2016,53.970001,304.1660671345756
MSFT,Wed Mar 23 00:00:00 CET 2016,53.970001,93.0956639734514
TWTR,Wed Mar 23 00:00:00 CET 2016,53.970001,68.04857150000001
AMZN,Tue Apr 21 00:00:00 CEST 2015,83.620003,251.17619806901195
GOOG,Tue Mar 22 00:00:00 CET 2016,54.07,347.6557436241347
AAPL,Tue Mar 22 00:00:00 CET 2016,54.07,347.6557436241347
FB,Tue Apr 21 00:00:00 CEST 2015,83.620003,303.7103934483471
AMZN,Tue Mar 22 00:00:00 CET 2016,54.07,250.90983834189169
MSFT,Tue Apr 21 00:00:00 CEST 2015,83.620003,93.05392097356835
FB,Tue Mar 22 00:00:00 CET 2016,54.07,303.1956709876289
TWTR,Tue Apr 21 00:00:00 CEST 2015,83.620003,69.08666693333335
MSFT,Tue Mar 22 00:00:00 CET 2016,54.07,92.88293886403515
TWTR,Tue Mar 22 00:00:00 CET 2016,54.07,68.14812525
GOOG,Mon Apr 20 00:00:00 CEST 2015,83.089996,347.39431501976304
AAPL,Mon Apr 20 00:00:00 CEST 2015,83.089996,347.39431501976304
AMZN,Mon Apr 20 00:00:00 CEST 2015,83.089996,250.68336082186212
FB,Mon Apr 20 00:00:00 CEST 2015,83.089996,302.7427786522634
MSFT,Mon Apr 20 00:00:00 CEST 2015,83.089996,92.84017492139743
TWTR,Mon Apr 20 00:00:00 CEST 2015,83.089996,69.02705882352942
GOOG,Mon Mar 21 00:00:00 CET 2016,53.860001,347.1045476811453
AAPL,Mon Mar 21 00:00:00 CET 2016,53.860001,347.1045476811453
AMZN,Mon Mar 21 00:00:00 CET 2016,53.860001,250.41810022911028
FB,Mon Mar 21 00:00:00 CET 2016,53.860001,302.2317257207392
MSFT,Mon Mar 21 00:00:00 CET 2016,53.860001,92.6706959043479
TWTR,Mon Mar 21 00:00:00 CET 2016,53.860001,68.1844445
GOOG,Fri Apr 17 00:00:00 CEST 2015,80.779999,346.84190019723883
AAPL,Fri Apr 17 00:00:00 CEST 2015,80.779999,346.84190019723883
